bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220805_MW_S1_DNA_T4_Sed_A_bin.3,61.82,1.7,75,1554050,4484,174_1,220806_MW_S1_DNA_NextDay_A_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_T4_Sed_A_bin.4,78.06,2.42,55.56,1794996,6167,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_T4_Sed_A_bin.6,49.53,1.87,100,1857116,4068,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_T4_Sed_A_bin.9,35.51,0,0,1719078,3779,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_T4_Sed_B_bin.1,21.96,2.34,100,1359822,3529,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_T4_Sed_B_bin.2,84.59,3.32,35.29,1965799,13071,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_T4_Sed_B_bin.3,82.53,58.1,50,4582312,5627,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_T4_Sed_B_bin.4,4.17,0,0,392202,3188,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_T4_Sed_B_bin.6,69.55,7.09,94.74,2300261,5567,389_1,220805_MW_S1_DNA_T4_Sed_B_bin.6,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__
220805_MW_S1_DNA_T4_Sed_B_bin.9,0,0,0,294570,4311,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_T4_Sed_C_bin.1,62.38,6.72,98,2156011,5118,389_1,220805_MW_S1_DNA_T4_Sed_B_bin.6,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Oleiagrimonas;s__
220805_MW_S1_DNA_T4_Sed_C_bin.2,12.62,0,0,413177,3175,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halalkalicoccaceae;g__SKXI01;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__;s__
220805_MW_S1_DNA_T4_Sed_C_bin.3,91.49,93.38,36.2,7047929,4906,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_T4_Sed_C_bin.4,83.36,3.4,55.56,2063777,8415,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_T4_Sed_C_bin.5,4.17,4.17,0,404767,3351,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_T4_Sed_C_bin.6,32.71,0,0,875466,4120,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_sed_A_bin.1,0,0,0,361455,3441,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_A_bin.10,73.75,2.87,40,2219924,6449,179_1,220806_MW_S6_DNA_sed_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_sed_A_bin.11,33.64,1.87,50,1576542,4382,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_sed_A_bin.12,44.3,1.87,0,1435912,6686,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halanaeroarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halanaeroarchaeum;s__
220805_MW_S1_DNA_sed_A_bin.2,82.4,0.93,0,984052,15836,532_1,220805_MW_S1_DNA_sed_A_bin.2,d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__M3-22;s__,d__Archaea;p__Euryarchaeota;c__Nanohaloarchaea;o__;f__;g__;s__
220805_MW_S1_DNA_sed_A_bin.3,4.67,0,0,309967,3140,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_A_bin.4,91.94,49.57,21.39,4200590,7747,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halococcoides;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halococcoides;s__
220805_MW_S1_DNA_sed_A_bin.6,12.38,0,0,231668,3130,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_A_bin.9,35.01,0,0,1008195,4540,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_sed_B_bin.1,41.53,1.09,40,1343665,3607,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp003177035,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__
220805_MW_S1_DNA_sed_B_bin.2,8.41,0.93,0,751754,3584,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_B_bin.3,21.96,0,0,934540,4227,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_sed_B_bin.4,28.72,3.27,100,1353032,4192,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__
220805_MW_S1_DNA_sed_B_bin.6,16.82,0,0,625399,3410,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_C_bin.1,4.17,0,0,247313,2946,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_C_bin.2,30.66,1.4,50,1287368,5054,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_sed_C_bin.3,73.45,1.61,55.56,1660034,6037,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S1_DNA_sed_C_bin.4,9.81,0,0,634218,3571,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S1_DNA_sed_C_bin.6,5.17,0,0,332400,3165,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S1_DNA_sed_D_bin.1,4.17,0,0,478872,3442,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S1_DNA_sed_D_bin.2,17.24,1.72,0,573245,3358,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S1_DNA_sed_D_bin.3,37.12,0,0,941616,4609,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S1_DNA_sed_D_bin.4,41.22,1.11,85.71,1461267,3707,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp003177035,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;s__
220805_MW_S1_DNA_sed_D_bin.6,80.8,1.71,42.86,1950159,9556,223_2,220805_MW_S1_DNA_Brine_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salifodinibacter;s__Salifodinibacter sp002403445,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__;s__
220805_MW_S2_DNA_Brine_B_bin.1,80.85,41.35,7.14,5850137,4751,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220805_MW_S2_DNA_Brine_B_bin.10,73.72,9.63,0,1546771,3862,176_1,220807_BK_F8_DNA_brine_C_bin.18,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S2_DNA_Brine_B_bin.11,58.23,10.31,25,2190924,4066,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220805_MW_S2_DNA_Brine_B_bin.12,27.1,2.34,0,1141916,4613,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Salinirussus;s__
220805_MW_S2_DNA_Brine_B_bin.13,83.32,2.34,28.57,2070046,7535,174_1,220806_MW_S1_DNA_NextDay_A_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__
220805_MW_S2_DNA_Brine_B_bin.14,88.59,168.6,8.56,9264991,5873,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220805_MW_S2_DNA_Brine_B_bin.16,25.7,0,0,1171156,3974,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S2_DNA_Brine_B_bin.3,68.21,39.32,22.03,4941845,4762,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__
220805_MW_S2_DNA_Brine_B_bin.4,73.91,2.4,37.5,1844054,8085,188_1,220808_BK_F12_DNA_brine_C_bin.19,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-5-70-15;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220805_MW_S2_DNA_Brine_B_bin.5,73.04,1.53,20,2060833,11264,119_0,220805_MW_S2_DNA_Brine_B_bin.5,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220805_MW_S2_DNA_Brine_B_bin.6,75.61,1.26,25,2473472,15046,248_1,220808_BK_F12_DNA_brine_C_bin.21,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__
220805_MW_S2_DNA_Brine_B_bin.7,38.94,0.57,0,915759,4533,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220805_MW_S2_DNA_Brine_B_bin.8,77.46,23.21,5.13,2854892,5116,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__
220805_MW_S2_DNA_Brine_B_bin.9,28.04,2.34,0,995142,2728,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.1,13.32,3.61,0,483008,3491,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.10,98.31,4.8,23.08,4911145,36786,237_0,220805_MW_S3_DNA_Brine_bin.10,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.11,88.81,4.27,42.86,5530681,11971,130_0,220805_MW_S3_DNA_Brine_bin.11,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__REDI01;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.12,38.2,0.88,100,1431676,3495,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__JAHQVV01;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220805_MW_S3_DNA_Brine_bin.13,91.62,2.78,16.67,5137546,15693,38_0,220805_MW_S3_DNA_Brine_bin.13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.15,71.24,35.74,62.5,4686744,5311,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__Parvularcula;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Parvularcula;s__
220805_MW_S3_DNA_Brine_bin.17,0,0,0,208875,111615,NA,NA,Unclassified,Unclassified
220805_MW_S3_DNA_Brine_bin.18,79.2,6.75,8.51,3186813,6924,473_1,220807_MW_S8_DNA_Mat_A_bin.17,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAIVHI01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Loktanella;s__
220805_MW_S3_DNA_Brine_bin.2,71.65,21.34,2.56,4376247,2729,NA,NA,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__
220805_MW_S3_DNA_Brine_bin.20,29.99,0.79,28.57,1196166,3696,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Citreimonas;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Citreimonas;s__
220805_MW_S3_DNA_Brine_bin.22,32.76,0,0,1290665,4655,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__
220805_MW_S3_DNA_Brine_bin.24,12.38,1.38,0,805660,1711,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__;s__
220805_MW_S3_DNA_Brine_bin.25,36.96,7.8,0,894965,2824,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.26,82.65,3.01,33.33,1907867,7102,498_0,220805_MW_S3_DNA_Brine_bin.26,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Tepidamorphaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodobiaceae;g__;s__
220805_MW_S3_DNA_Brine_bin.27,3.87,0,0,596753,4357,NA,NA,Unclassified Archaea,Unclassified Archaea
220805_MW_S3_DNA_Brine_bin.28,22.88,1.84,0,1083672,1658,NA,NA,d__Bacteria;p__;c__;o__;f__;g__;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.29,3.91,0,0,527590,6132,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S3_DNA_Brine_bin.3,1.89,0,0,279315,43280,NA,NA,Unclassified,Unclassified
220805_MW_S3_DNA_Brine_bin.30,0,0,0,222570,7777,NA,NA,Unclassified,Unclassified
220805_MW_S3_DNA_Brine_bin.4,22.41,6.03,0,1843490,3370,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Salinarimonadaceae;g__Salinarimonas;s__
220805_MW_S3_DNA_Brine_bin.6,43.91,0.55,0,817633,4026,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__UBA998;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220805_MW_S3_DNA_Brine_bin.9,0,0,0,272634,18329,NA,NA,Unclassified,Unclassified
220805_MW_S4_DNA_Brine_bin.1,14.11,0,0,287757,2920,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S4_DNA_Brine_bin.11,86.64,1.6,50,1623566,13125,502_1,220808_BK_F15_DNA_brine_B_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__HIMB30;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Litoricolaceae;g__Litoricola;s__
220805_MW_S4_DNA_Brine_bin.13,91.58,0.69,33.33,1260420,25819,74_1,220805_MW_S4_DNA_Brine_bin.13,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__;s__
220805_MW_S4_DNA_Brine_bin.14,45.98,0.29,0,692364,6581,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Aquiluna;s__
220805_MW_S4_DNA_Brine_bin.15,33.27,2.24,0,578418,4650,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__;g__;s__
220805_MW_S4_DNA_Brine_bin.16,7.68,0.31,0,761872,3074,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S4_DNA_Brine_bin.17,93.45,0.2,50,2498228,83811,416_0,220805_MW_S4_DNA_Brine_bin.17,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__;s__
220805_MW_S4_DNA_Brine_bin.18,11.4,0,0,238027,6429,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Aquiluna;s__
220805_MW_S4_DNA_Brine_bin.19,4.17,0,0,693859,3235,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S4_DNA_Brine_bin.20,2.59,0.93,0,443079,25036,NA,NA,Unclassified,Unclassified
220805_MW_S4_DNA_Brine_bin.21,65.89,0,0,2588604,9045,440_1,220811_JW_F20_DNA_Brine_A_bin.7,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220805_MW_S4_DNA_Brine_bin.22,0,0,0,239411,40924,NA,NA,Unclassified,Unclassified
220805_MW_S4_DNA_Brine_bin.23,26.32,0,0,481935,4237,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__;g__;s__
220805_MW_S4_DNA_Brine_bin.24,94.6,2.25,8.33,3409791,21561,438_2,220805_MW_S4_DNA_Brine_bin.24,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220805_MW_S4_DNA_Brine_bin.26,0,0,0,230336,3070,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S4_DNA_Brine_bin.3,67.47,1.74,62.5,1001117,9700,72_0,220805_MW_S4_DNA_Brine_bin.3,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Pontimonas;s__,d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Pontimonas;s__
220805_MW_S4_DNA_Brine_bin.4,27.16,0.61,50,1207386,3652,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Halovulum;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Halovulum;s__
220805_MW_S4_DNA_Brine_bin.5,70.8,38.37,1.61,14554710,8409,NA,NA,d__Archaea;p__Thermoproteota;c__JANJXX01;o__;f__;g__;s__,d__Archaea;p__;c__;o__;f__;g__;s__
220805_MW_S4_DNA_Brine_bin.6,1.1,0,0,257170,3141,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220805_MW_S4_DNA_Brine_bin.7,20.69,0,0,624183,3779,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga;s__
220805_MW_S4_DNA_Brine_bin.8,12.34,0.43,0,499691,3099,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Hydrocarboniclastica;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__;s__
220805_MW_S4_DNA_Brine_bin.9,5.17,0,0,331335,3050,NA,NA,Unclassified Bacteria,Unclassified Bacteria
